"genero","especie"
Echinodorus,subalatus
Bomarea,edulis
Alternanthera,adscendens
Alternanthera,brasiliana
Alternanthera,littoralis
Alternanthera,martii
Alternanthera,micrantha
Alternanthera,praelonga
Alternanthera,pubiflora
Alternanthera,rufa
Alternanthera,tenella
Amaranthus,caudatus
Amaranthus,graecizans
Amaranthus,hybridus
Amaranthus,spinosus
Amaranthus,viridis
Celosia,argentea
Celosia,grandifolia
Chamissoa,acuminata
Chamissoa,altissima
Froelichia,interrupta
Froelichia,procera
Gomphrena,agrestis
Gomphrena,arborescens
Gomphrena,celosioides
Gomphrena,chrestoides
Gomphrena,demissa
Gomphrena,desertorum
Gomphrena,elegans
Gomphrena,globosa
Gomphrena,graminea
Gomphrena,macrocephala
Gomphrena,mollis
Gomphrena,paranensis
Gomphrena,perennis
Gomphrena,pohlii
Gomphrena,prostrata
Gomphrena,riparia
Gomphrena,vaga
Hebanthe,eriantha
Hebanthe,pulverulenta
Hebanthe,reticulata
Hebanthe,erianthos
Iresine,diffusa
Pfaffia,glabrata
Pfaffia,glomerata
Pfaffia,gnaphaloides
Pfaffia,tuberosa
Syngonanthus,caulescens
Syngonanthus,cuyabensis
Syngonanthus,densiflorus
Syngonanthus,fischerianus
Syngonanthus,gracilis
Syngonanthus,helminthorrhizus
Syngonanthus,nitens
Syngonanthus,oblongus
Syngonanthus,reclinatus 
Syngonanthus,tenuis
Syngonanthus,verticillatus
Agapanthus,africanus
Crinum,americanum
Nothoscordum,bonariense
Nothoscordum,exile
Nothoscordum,gracile
Nothoscordum,luteomajus
Anacardium,giganteum
Anacardium,humile
Anacardium,occidentale
Astronium,concinnum
Astronium,fraxinifolium
Astronium,graveolens
Astronium,urundeuva
Lithraea,brasiliensis
Lithraea,molleoides
Mangifera,indica
Schinus,engleri
Schinus,lentiscifolia
Schinus,longifolia
Schinus,molle
Schinus,spinosa
Schinus,terebinthifolia
Schinus,weinmanniifolia
Tapirira,guianensis
Tapirira,obtusa
Annona,acutiflora
Annona,aurantiaca
Annona,cacans
Annona,cf. cordifolia
Annona,coriacea
Annona,cornifolia
Annona,crassiflora
Annona,dioica
Annona,dolabripetala
Annona,emarginata
Annona,exsucca
Annona,montana
Annona,mucosa
Annona,nutans
Annona,sylvatica
Annona,tomentosa
Duguetia,furfuracea
Duguetia,lanceolata
Guatteria,australis
Guatteria,citriodora
Guatteria,coriacea
Guatteria,ferruginea
Guatteria,liesneri
Guatteria,pogonopus
Guatteria,punctata
Guatteria,rigida
Guatteria,schomburgkiana
Phlegmariurus,acerosus
Phlegmariurus,biformis
Phlegmariurus,comans
Phlegmariurus,flexibilis
Phlegmariurus,fontinaloides
Phlegmariurus,heterocarpon
Phlegmariurus,hexastichus
Phlegmariurus,mandiocanus
Phlegmariurus,quadrifariatus
Phlegmariurus,reflexus
Xylopia,amazonica
Xylopia,aromatica
Xylopia,brasiliensis
Xylopia,brasiliensis
Xylopia,emarginata
Xylopia,frutescens
Xylopia,laevigata
Xylopia,nitida
Xylopia,sericea
Coriandrum,sativum
Eryngium,aloifolium
Eryngium,canaliculatum
Eryngium,corallinum
Eryngium,dusenii
Eryngium,ebracteatum
Eryngium,eburneum
Eryngium,ekmanii
Eryngium,elegans
Eryngium,eriophorum
Eryngium,floribundum
Eryngium,horridum
Eryngium,junceum
Eryngium,juncifolium
Eryngium,koehneanum
Eryngium,mesopotamicum
Eryngium,pandanifolium
Eryngium,pohlianum
Eryngium,pristis
Eryngium,rochei
Eryngium,sanguisorba
Eryngium,scirpinum
Eryngium,subinerme
Eryngium,urbanianum
Xylosma,ciliatifolia
Xylosma,prockia
Xylosma,pseudosalzmannii
Xylosma,tweediana
Xylosma,venosa
Allamanda,angustifolia
Allamanda,blanchetii
Allamanda,cathartica
Allamanda,polyantha
Allamanda,puberula
Allamanda,schottii
Aspidosperma,australe
Aspidosperma,cylindrocarpon
Aspidosperma,macrocarpon
Aspidosperma,nobile
Aspidosperma,olivaceum
Aspidosperma,parvifolium
Aspidosperma,polyneuron
Aspidosperma,pyricollum
Aspidosperma,pyrifolium
Aspidosperma,ramiflorum
Aspidosperma,riedelii
Aspidosperma,spruceanum
Aspidosperma,subincanum
Aspidosperma,tomentosum
Catharanthus,roseus
Condylocarpon,isthmicum
Forsteronia,australis
Forsteronia,glabrescens
Forsteronia,leptocarpa
Forsteronia,pubescens
Forsteronia,refracta
Forsteronia,rufa
Forsteronia,thyrsoidea
Forsteronia,velloziana
Hancornia,speciosa
Mandevilla,atroviolacea
Mandevilla,clandestina
Mandevilla,coccinea
Mandevilla,emarginata
Mandevilla,hatschbachii
Mandevilla,hirsuta
Mandevilla,illustris
Mandevilla,immaculata
Mandevilla,longiflora
Mandevilla,myriophylla
Mandevilla,pentlandiana
Mandevilla,petraea
Mandevilla,pohliana
Mandevilla,pycnantha
Mandevilla,scabra
Mandevilla,sellowii
Mandevilla,spigeliiflora
Mandevilla,tenuifolia
Mandevilla,urophylla
Nerium,oleander
Plumeria,pudica
Plumeria,rubra
Prestonia,bahiensis
Prestonia,calycina
Prestonia,coalita
Prestonia,mexicana
Prestonia,quinquangularis
Prestonia,tomentosa
Rauvolfia,ligustrina
Rauvolfia,sellowii
Secondatia,densiflora
Tabernaemontana,catharinensis
Tabernaemontana,laeta
Tabernaemontana,siphilitica
Temnadenia,odorifera
Temnadenia,violacea
Ilex,affinis
Ilex,brasiliensis
Ilex,brevicuspis
Ilex,chamaedryfolia
Ilex,conocarpa
Ilex,dumosa
Ilex,floribunda
Ilex,gracilior
Ilex,integerrima
Ilex,lundii
Ilex,microdonta
Ilex,paraguariensis
Ilex,pseudobuxus
Ilex,taubertiana
Ilex,theezans
Ilex,trichothyrsa
Anthurium,acutum
Anthurium,affine
Anthurium,andraeanum
Anthurium,bonplandii
Anthurium,gaudichaudianum
Anthurium,itanhaense
Anthurium,loefgrenii
Anthurium,minarum
Anthurium,pentaphyllum
Anthurium,plowmanii
Anthurium,raimundii
Anthurium,scandens
Anthurium,sellowianum
Anthurium,sinuatum
Colocasia,esculenta
Monstera,adansonii
Monstera,deliciosa
Monstera,praetermissa
Monstera,subpinnata
Spathicarpa,hastifolia
Spathicarpa,lanceolata
Syngonium,podophyllum
Syngonium,vellozianum
Syngonium,yurimaguense
Aralia,warmingiana
Dendropanax,australis
Dendropanax,cuneatus
Dendropanax,monogynus
Tetrapanax,papyrifer
Araucaria,angustifolia
Araucaria,bidwillii
Araucaria,columnaris
Caesalpinia,pulcherrima
Allagoptera,campestris
Allagoptera,caudescens
Bactris,glaucescens
Bactris,setosa
Bactris,simplicifrons
Butia,eriospatha
Butia,microspadix
Butia,paraguayensis
Butia,soffiae
Euterpe,edulis
Euterpe,oleracea
Geonoma,elegans
Geonoma,gamiova
Geonoma,schottiana
Livistona,benthamii
Livistona,chinensis
Phoenix,roebelenii
Syagrus,allagopteroides
Syagrus,comosa
Syagrus,flexuosa
Syagrus,glaucescens
Syagrus,hoehnei
Syagrus,romanzoffiana
Aristolochia,arcuata
Aristolochia,chamissonis
Aristolochia,chiquitensis
Aristolochia,elegans
Aristolochia,esperanzae
Aristolochia,gibertii
Aristolochia,gigantea
Aristolochia,labiata
Aristolochia,melastoma
Aristolochia,odoratissima
Aristolochia,stomachoides
Aristolochia,triangularis
Aristolochia,trilobata
Aristolochia,wendeliana
Acianthera,aphthosa
Acianthera,crepiniana
Acianthera,fenestrata
Acianthera,fockei
Acianthera,glanduligera
Acianthera,gracilisepala
Acianthera,hatschbachii
Acianthera,hygrophila
Acianthera,klotzschiana
Acianthera,luteola
Acianthera,ochreata
Acianthera,pubescens
Acianthera,recurva
Acianthera,saundersiana
Acianthera,saurocephala
Acianthera,sonderiana
Acianthera,violaceomaculata
Cranichis,candida
Chaetogastra,cerastifolia
Chaetogastra,clinopodifolia
Chaetogastra,cogniauxiana
Chaetogastra,cordeiroi
Chaetogastra,crassifolia
Chaetogastra,debilis
Chaetogastra,flavum
Chaetogastra,gracilis
Chaetogastra,herbacea
Chaetogastra,herincquiana
Chaetogastra,parviflora
Chaetogastra,saxicola
Asplenium,abscissum
Asplenium,alatum
Asplenium,atlanticum
Asplenium,auriculatum
Asplenium,auritum
Asplenium,balansae
Asplenium,brasiliense
Asplenium,campos-portoi
Asplenium,cf. auritum
Asplenium,claussenii
Asplenium,discrepans
Asplenium,douglasii
Asplenium,feei
Asplenium,flabellulatum
Asplenium,gastonis
Asplenium,harpeodes
Asplenium,inaequilaterale
Asplenium,incurvatum
Asplenium,kunzeanum
Asplenium,martianum
Asplenium,mucronatum
Asplenium,oligophyllum
Asplenium,otites
Asplenium,pseudonitidum
Asplenium,pulchellum
Asplenium,scandicinum
Asplenium,serra
Asplenium,serratum
Asplenium,squamosum
Asplenium,stuebelianum
Asplenium,uniseriale
Esterhazya,eitenorum
Esterhazya,macrodonta
Esterhazya,splendida
Achyrocline,alata
Achyrocline,satureioides
Achyrocline,vauthieriana
Ambrosia,artemisiifolia
Ambrosia,polystachya
Ambrosia,tenuifolia
Artemisia,ludoviciana
Artemisia,verlotiorum 
Artemisia,vulgaris
Aspilia,attenuata
Aspilia,duarteana
Aspilia,latissima
Aspilia,montevidensis
Aspilia,pascalioides
Aspilia,reflexa
Smallanthus,connatus
Smallanthus,sonchifolius
Austroeupatorium,inulaefolium
Austroeupatorium,laetevirens
Austroeupatorium,picturatum
Austroeupatorium,rosmarinaceum
Austroeupatorium,silphiifolium
Baccharis,aliena
Baccharis,angusticeps
Baccharis,anomala
Baccharis,aracatubensis
Baccharis,articulata
Baccharis,axillaris
Baccharis,brevifolia
Baccharis,breviseta
Baccharis,calvescens
Baccharis,caprariifolia
Baccharis,cognata
Baccharis,conyzoides
Baccharis,coridifolia
Baccharis,crispa
Baccharis,curitybensis
Baccharis,darwinii
Baccharis,deblei
Baccharis,dentata
Baccharis,dracunculifolia
Baccharis,elliptica
Baccharis,erioclada
Baccharis,glutinosa
Baccharis,gnaphalioides
Baccharis,gracilis
Baccharis,helichrysoides
Baccharis,illinita
Baccharis,incisa
Baccharis,intermixta
Baccharis,junciformis
Baccharis,leptospermoides 
Baccharis,leucocephala
Baccharis,linearifolia
Baccharis,longiattenuata
Baccharis,megapotamica
Baccharis,mesoneura
Baccharis,microcephala
Baccharis,microdonta
Baccharis,milleflora
Baccharis,montana
Baccharis,myricifolia
Baccharis,myriocephala
Baccharis,nummularia
Baccharis,oblongifolia
Baccharis,ochracea
Baccharis,oreophila
Baccharis,organensis
Baccharis,oxyodonta
Baccharis,paranensis
Baccharis,pauciflosculosa
Baccharis,pentaptera
Baccharis,pentodonta
Baccharis,pingraea
Baccharis,platypoda
Baccharis,pseudomyriocephala
Baccharis,pseudovillosa
Baccharis,punctulata
Baccharis,ramboi
Baccharis,reticularia
Baccharis,retusa
Baccharis,rufidula
Baccharis,sagittalis
Baccharis,salicifolia
Baccharis,semiserrata
Baccharis,serrulata
Baccharis,sessiliflora
Baccharis,singularis
Baccharis,sphenophylla
Baccharis,spicata
Baccharis,subdentata
Baccharis,subtropicalis
Baccharis,tarchonanthoides
Baccharis,trilobata
Baccharis,trinervis
Baccharis,trineura
Baccharis,uleana
Baccharis,umbellata
Baccharis,uncinella
Baccharis,urvilleana
Baccharis,vincifolia
Baccharis,vulneraria
Baccharis,weirii
Barrosoa,betonicaeformis
Barrosoa,candolleana
Bidens,alba
Bidens,gardneri
Bidens,pilosa
Bidens,squarrosa
Bidens,subalternans
Psiguria,ternata
Calea,acaulis
Calea,candolleana
Calea,clausseniana
Calea,clematidea
Calea,cuneifolia
Calea,cymosa
Calea,graminifolia
Calea,ilienii
Calea,lantanoides
Calea,marginata
Calea,mediterranea
Calea,monocephala
Calea,parvifolia
Calea,phyllolepis
Calea,pinnatifida
Calea,teucriifolia
Calea,triantha
Calyptocarpus,brasiliensis
Campovassouria,barbosae
Campovassouria,cruciata
Campuloclinium,macrocephalum
Campuloclinium,purpurascens
Centratherum,punctatum
Leucanthemum,vulgare
Chaptalia,integerrima
Chaptalia,nutans
Chaptalia,piloselloides
Chresta,angustifolia
Chresta,curumbensis
Chresta,hatschbachii
Chresta,plantaginifolia
Chresta,scapigera
Chresta,sphaerocephala
Chromolaena,ascendens
Chromolaena,asperrima
Chromolaena,chaseae
Chromolaena,congesta
Chromolaena,elliptica
Chromolaena,hirsuta
Chromolaena,hirsuta
Chromolaena,horminoides
Chromolaena,ivifolia
Chromolaena,laevigata
Chromolaena,latisquamulosa
Chromolaena,maximiliani
Chromolaena,odorata
Chromolaena,palmaris
Chromolaena,pedunculosa
Chromolaena,rhinanthacea
Chromolaena,sagittifera
Chromolaena,squarrulosa
Chromolaena,stachyophylla
Chrysanthemum,morifolium
Chrysolaena,cf. obovata
Chrysolaena,flexuosa
Chrysolaena,lithospermifolia
Chrysolaena,nicolackii
Chrysolaena,obovata
Chrysolaena,oligophylla
Chrysolaena,platensis
Chrysolaena,propinqua
Chrysolaena,simplex
Cirsium,vulgare
Odontonema,cuspidatum
Sagittaria,montevidensis
Sagittaria,rhombifolia
Blutaparon,portulacoides
Thevetia,bicornuta
Thevetia,peruviana
Ageratum,conyzoides
Ageratum,fastigiatum
Ageratum,houstonianum
Avicennia,germinans
Avicennia,schaueriana
Clibadium,armanii
Conyza,bonariensis
Conyza,canadensis
Conyza,primulifolia
Conyza,sumatrensis
Coreopsis,lanceolata
Coreopsis,tinctoria
Crepis,capillaris
Critonia,morifolia
Critonia,morifolia
Cyrtocymura,cincta
Cyrtocymura,mattos-silvae
Cyrtocymura,scorpioides
Dahlia,pinnata
Dasyphyllum,brasiliense
Dasyphyllum,flagellare
Dasyphyllum,spinescens
Dasyphyllum,sprengelianum
Dasyphyllum,vagans
Pseudogynoxys,cabrerae
Dendrophorbium,brachycodon
Dendrophorbium,fruticosum
Dendrophorbium,limosum
Dendrophorbium,paranense
Dendrophorbium,pluricephalum
Dendrophorbium,subnemorale
Dimerostemma,annuum
Dimerostemma,arnottii
Dimerostemma,indutum
Eclipta,elliptica
Eclipta,prostrata
Elephantopus,mollis
Emilia,cf. sonchifolia
Emilia,fosbergii
Emilia,limosa
Emilia,sonchifolia
Erechtites,hieracifolius
Erechtites,valerianifolius
Eremanthus,capitatus
Eremanthus,crotonoides
Eremanthus,erythropappus
Eremanthus,glomerulatus
Emmotum,nitens
Galinsoga,parviflora
Galinsoga,quadriradiata
Gazania,rigens
Gerbera,jamesonii
Xerochrysum,bracteatum
Grazielia,gaudichaudiana
Grazielia,intermedia
Grazielia,multifida
Grazielia,nummularia
Grazielia,serrata
Gymnanthemum,amygdalinum
Gyptis,tanacetifolia
Mauranthemum,paludosum
Inulopsis,camporum 
Inulopsis,scaposa
Inulopsis,stenophylla
Lepidaploa,argyrotricha
Lepidaploa,aurea
Lepidaploa,balansae
Lepidaploa,barbata
Lepidaploa,chalybaea
Lepidaploa,chamissonis
Lepidaploa,cotoneaster
Lepidaploa,eriolepis
Lepidaploa,muricata
Lepidaploa,nitens
Lepidaploa,pseudomuricata
Lepidaploa,remotiflora
Lepidaploa,rufogrisea
Lepidaploa,salzmannii
Lessingianthus,ammophilus
Lessingianthus,argenteus
Lessingianthus,asteriflorus
Lessingianthus,brevifolius
Lessingianthus,cordiger
Lessingianthus,coriaceus
Lessingianthus,durus
Lessingianthus,glabratus
Lessingianthus,grandiflorus
Lessingianthus,laniferus
Lessingianthus,macrocephalus
Lessingianthus,niederleinii
Lessingianthus,plantaginodes
Lessingianthus,polyphyllus
Lessingianthus,psilophyllus
Lessingianthus,pumillus
Lessingianthus,reitzianus
Lessingianthus,sancti-pauli
Lessingianthus,ulei
Lessingianthus,virgulatus
Lessingianthus,warmingianus
Lessingianthus,zuccarinianus
Mattfeldanthus,mutisioides
Dypsis,decaryi
Dypsis,lutescens
Mikania,argyreiae
Mikania,biformis
Mikania,burchellii
Mikania,campanulata
Mikania,capricorni
Mikania,clematidifolia
Mikania,cordifolia
Mikania,elliptica
Mikania,fulva
Mikania,glomerata
Mikania,hastato-cordata
Mikania,hemisphaerica
Mikania,hirsutissima
Mikania,hoffmanniana
Mikania,involucrata
Mikania,itambana
Mikania,laevigata
Mikania,lanuginosa
Mikania,leiolaena
Mikania,ligustrifolia
Mikania,lindbergii
Mikania,lindleyana
Mikania,lundiana
Mikania,micrantha
Mikania,microcephala
Mikania,nummularia
Mikania,oblongifolia
Mikania,officinalis
Mikania,oreophila
Mikania,orleansensis
Mikania,paniculata
Mikania,paranensis
Mikania,psilostachya
Mikania,salviifolia
Mikania,scandens
Mikania,sericea
Mikania,sessilifolia
Mikania,smaragdina
Mikania,ternata
Mikania,trinervis
Mikania,triphylla
Mutisia,campanulata
Mutisia,coccinea
Mutisia,speciosa
Mutisia,subulata
Neocabreria,malachophylla
Neocabreria,serrulata
Orthopappus,angustifolius
Parthenium,hysterophorus
Piptocarpha,angustifolia
Piptocarpha,axillaris
Piptocarpha,densifolia
Piptocarpha,macropoda
Piptocarpha,oblonga
Piptocarpha,quadrangularis
Piptocarpha,regnellii
Piptocarpha,reitziana
Piptocarpha,rotundifolia
Piptocarpha,sellowii
Porophyllum,curticeps
Porophyllum,ruderale
Praxelis,clematidea
Praxelis,diffusa
Praxelis,grandiflora
Praxelis,kleinioides
Praxelis,missiona
Praxelis,sanctopaulensis
Pterocaulon,alopecuroides
Pterocaulon,angustifolium
Pterocaulon,balansae
Pterocaulon,lanatum
Pterocaulon,lorentzii
Pterocaulon,rugosum
Pterocaulon,virgatum
Senecio,bonariensis
Senecio,brasiliensis
Senecio,cisplatinus
Senecio,conyzifolius
Senecio,crassiflorus
Senecio,grisebachii
Senecio,grossidens
Senecio,heterotrichius
Senecio,hoehnei
Senecio,icoglossus
Senecio,inaequidens
Senecio,juergensii
Senecio,langei
Senecio,leptolobus
Senecio,leptoschizus
Senecio,leucostachys
Senecio,oleosus
Senecio,selloi
Senecio,smithii
Senecio,stigophlebius
Senecio,trichocaulon
Sigesbeckia,orientalis
Solidago,chilensis
Sonchus,asper
Sonchus,oleraceus
Sphagneticola,brachycarpa
Sphagneticola,trilobata
Stevia,alternifolia
Stevia,catharinensis
Stevia,claussenii
Stevia,collina
Stevia,leptophylla
Stevia,lundiana
Stevia,myriadenia
Stevia,ophryophylla
Stevia,salicifolia
Stevia,tenuis
Stevia,veronicae
Symphyopappus,angustifolius
Symphyopappus,casarettoi
Symphyopappus,compressus
Symphyopappus,cuneatus
Symphyopappus,decussatus
Symphyopappus,itatiayensis
Symphyopappus,lymansmithii
Symphyopappus,reticulatus
Symphyopappus,uncinatus
Tagetes,erecta
Tagetes,minuta
Tagetes,patula
Tithonia,diversifolia
Trichogoniopsis,adenantha
Tridax,procumbens
Trixis,antimenorrhoea
Trixis,glaziovii
Trixis,lessingii
Trixis,nobilis
Trixis,praestans
Trixis,thyrsoidea
Trixis,vauthieri
Vernonanthura,beyrichii
Vernonanthura,brasiliana
Vernonanthura,canaminina
Vernonanthura,cf. squamulosa
Vernonanthura,chamaedrys
Vernonanthura,crassa
Vernonanthura,cuneifolia
Vernonanthura,discolor
Vernonanthura,divaricata
Vernonanthura,ferruginea
Vernonanthura,montevidensis
Vernonanthura,mucronulata
Vernonanthura,nana
Vernonanthura,nudiflora
Vernonanthura,oligactoides
Vernonanthura,oligolepis
Vernonanthura,perangusta
Vernonanthura,petiolaris
Vernonanthura,polyanthes
Vernonanthura,puberula
Vernonanthura,rigiophylla
Vernonanthura,subverticillata
Vernonanthura,tweediana
Vernonanthura,westiniana
Pseudognaphalium,cheiranthifolium
Dolichandra,chodatii
Dolichandra,cynanchoides
Dolichandra,dentata
Dolichandra,hispida
Dolichandra,quadrivalvis
Dolichandra,uncata
Dolichandra,unguis-cati
Xanthium,spinosum
Xanthium,strumarium
Begonia,aconitifolia
Begonia,angulata
Begonia,barkleyana
Begonia,bidentata
Begonia,biguassuensis
Begonia,capanemae
Begonia,catharinensis
Begonia,convolvulacea
Begonia,cucullata
Begonia,descoleana
Begonia,echinosepala
Begonia,fischeri
Begonia,fruticosa
Begonia,fuscocaulis
Begonia,grisea
Begonia,hammoniae
Begonia,ibitiocensis
Begonia,incisoserrata
Begonia,integerrima
Begonia,itatinensis
Begonia,itupavensis
Begonia,kuhlmannii
Begonia,lanceolata
Begonia,maculata
Begonia,medeirosii
Begonia,neglecta
Begonia,olsoniae
Begonia,paleata
Begonia,perdusenii
Begonia,pulchella
Begonia,radicans
Begonia,reniformis
Begonia,semperflorens
Begonia,solananthera
Begonia,stenolepis
Begonia,subvillosa
Begonia,ulmifolia
Nandina,domestica
Adenocalymma,alboaurantiacum
Adenocalymma,bracteatum
Adenocalymma,coriaceum
Adenocalymma,cymbalum
Adenocalymma,dusenii
Adenocalymma,marginatum
Adenocalymma,nodosum
Adenocalymma,paulistarum
Adenocalymma,peregrinum
Adenocalymma,pubescens
Anemopaegma,acutifolium
Anemopaegma,arvense
Anemopaegma,brevipes
Anemopaegma,chamberlaynii
Anemopaegma,floridum
Anemopaegma,glaucum
Anemopaegma,hilarianum
Anemopaegma,longipetiolatum
Anemopaegma,prostratum
Amphilophium,crucigerum
Amphilophium,dolichoides
Amphilophium,dusenianum
Amphilophium,elongatum
Amphilophium,falcatum
Amphilophium,paniculatum
Cybistax,antisyphilitica
Jacaranda,caroba
Jacaranda,glabra
Jacaranda,irwinii
Jacaranda,macrantha
Jacaranda,micrantha
Jacaranda,mimosifolia
Jacaranda,mutabilis
Jacaranda,obovata
Jacaranda,oxyphylla
Jacaranda,puberula
Jacaranda,racemosa
Jacaranda,rufa
Jacaranda,ulei
Artocarpus,heterophyllus
Mansoa,difficilis
Podranea,ricasoliana
Pyrostegia,venusta
Spathodea,campanulata
Stizophyllum,perforatum
Tabebuia,aurea
Tabebuia,cassinoides
Tabebuia,rosea
Tabebuia,roseoalba
Tecoma,stans
Tynanthus,cognatus
Tynanthus,micranthus
Tynanthus,polyanthus
Cochlospermum,orinocense
Cochlospermum,regium
Cochlospermum,vitifolium
Zeyheria,montana
Zeyheria,tuberculosa
Bixa,arborea
Bixa,orellana
Blechnum,areolatum
Blechnum,asplenioides
Blechnum,auriculatum
Blechnum,austrobrasilianum
Blechnum,gracile
Blechnum,laevigatum
Blechnum,lanceola
Blechnum,longipilosum
Blechnum,occidentale
Blechnum,polypodioides
Blechnum,xcaudatum
Pseudobombax,grandiflorum
Pseudobombax,longiflorum
Pseudobombax,simplicifolium
Corchorus,argutus
Corchorus,hirtus
Corchorus,olitorius
Aspidogyne,argentea
Aspidogyne,bidentifera
Aspidogyne,commelinoides
Aspidogyne,foliosa
Aspidogyne,juruenensis
Aspidogyne,kuczynskii
Aspidogyne,rosea
Waltheria,brachypetala
Waltheria,cinerascens
Waltheria,communis
Waltheria,indica
Waltheria,macropoda
Waltheria,polyantha
Waltheria,rotundifolia
Varronia,curassavica
Varronia,guazumifolia
Varronia,leucocephala
Varronia,polycephala
Euploca,filiformis
Euploca,hassleriana
Euploca,humilis
Euploca,parciflora
Euploca,procumbens
Euploca,salicoides
Moritzia,ciliata
Moritzia,dusenii
Pleocnemia,irregularis
Heliotropium,amplexicaule
Heliotropium,angiospermum
Heliotropium,cuspidatum
Heliotropium,elongatum
Heliotropium,funkiae
Heliotropium,indicum
Heliotropium,transalpinum
Lepidium,bonariense
Lepidium,virginicum
Sinapis,arvensis
Raphanus,raphanistrum
Raphanus,sativus
Acanthostachys,strobilacea
Aechmea,bromeliifolia
Aechmea,caudata
Aechmea,chantinii
Aechmea,comata
Aechmea,cylindrata
Aechmea,distichantha
Aechmea,gamosepala
Aechmea,kertesziae
Aechmea,lamarchei
Aechmea,mertensii
Aechmea,nudicaulis
Aechmea,organensis
Aechmea,ornata
Aechmea,recurvata
Ananas,ananassoides
Ananas,bracteatus
Billbergia,amoena
Billbergia,distachia
Billbergia,nutans
Billbergia,zebrina
Bromelia,antiacantha
Bromelia,balansae
Bromelia,glaziovii
Bromelia,laciniosa
Dyckia, tuberosa
Dyckia,dissitiflora
Dyckia,dusenii
Dyckia,ferruginea
Dyckia,fosteriana
Dyckia,leptostachya
Dyckia,microcalyx
Dyckia,reitzii
Dyckia,remotiflora
Dyckia,tuberosa
Dyckia,velascana
Dyckia,walteriana
Dyckia,braunii
Nidularium,innocentii
Nidularium,procerum
Browallia,americana
Tillandsia,adpressiflora
Tillandsia,aeranthos
Tillandsia,crocata
Tillandsia,didisticha
Tillandsia,gardnerii
