hcf | complementares
24426 | , A. Salgueiro, D.P. Amorim & W.C. Mallmann
24427 | , V.F. Oliveira, R.S. Thomé & V.S. Virtuoso
24428 | , J.A.O. Freitas, E.V. Freitas & R.W.S. Silva
24429 | , V.F. Oliveira, R.S. Thomé & V.S. Virtuoso
24430 | , A.S. Bezerra & J. Mello
24433 | , J.R. Sousa, N.S. Souza & R.A. Oliveira
24434 | , J.A. Oliveira & V.F. Oliveira
24435 | & A.L. Silva
24436 | & A.L. Silva
24437 | & A.L. Silva
24438 | & A.L. Silva
24439 | & A.L. Silva
24440 | & A.L. Silva
24441 | & A.L. Silva
24442 | & A.L. Silva
24443 | & A.L. Silva
24444 | & A.L. Silva
24445 | & A.L. Silva
24446 | & A.L. Silva
24447 | & A.L. Silva
24448 | & A.L. Silva
24449 | & A.L. Silva
24450 | & A.L. Silva
24451 | , M. Yanela & B.M. Castignaro
24452 | , M. Yanela & B.M. Castignaro
24453 | , M. Yanela & B.M. Castignaro
24454 | , M. Yanela & B.M. Castignaro
24455 | , J.R. Souza, D.P. Amorim & R.A. Oliveira
24456 | , V.F. Oliveira, R.S. Thomé & V.S. Virtuoso
24459 | , V.S. Virtuoso, R.S. Thomé & I.L. Scuteri
24460 | & V.F. Oliveira
24461 | , V.S. Virtuoso, R.S. Thomé & C.V. Silva
24462 | , V.F. Oliveira, R.S. Thomé & V.S. Virtuoso
24463 | & A.S. Bezerra
24464 | , J.A. Silva, M. Silva & J.J. Plácido
24466 | & A.S. Bezerra
24467 | , A.G. Brito, A.L. Oliveira & V.A.L. Soares
24468 | , V.F. Oliveira, R.S. Thomé & V.S. Virtuoso
24469 | & J.A.O. Freitas
24471 | & J.A.O. Freitas
24472 | & A.S. Bezerra
24473 | , R.S. Thomé, R,N. Rodrigues & J.A. Silva
24474 | & A.S. Bezerra
24475 | & A.S. Bezerra
24476 | , V.F. Oliveira, R.S. Thomé & V.S. Virtuoso
24477 | , V.F. Oliveira, R.S. Thomé & V.S. Virtuoso
24478 | , V.F. Oliveira, R.S. Thomé & V.S. Virtuoso
24479 | , V.S. Virtuoso, R.S. Thomé & I.L. Scuteri
24480 | , V.S. Virtuoso, R.S. Thomé & I.L. Scuteri
24481 | , V.S. Virtuoso, R.S. Thomé & C.V. Silva
24482 | , N.S. Souza, R.S. Thomé & I.L. Scuteri
24484 | , V.S. Virtuoso, R.S. Thomé & J.J. Plácido
24485 | , N.R. Rodrigues, C. Ferreira & E.C. Thomé
24486 | , A. Salgueiro, D.P. Amorim & V.S. Virtuoso
24487 | , V.S. Virtuoso, R.S. Thomé & C.V. Silva
24488 | , A. Salgueiro, D.P. Amorim & V.F. Oliveira
24489 | , A. Salgueiro, D.P. Amorim & W.C. Mallmann
24490 | e Equipe 5 -347
24491 | , J.L. Simão, M. Silva & S.C.V. Silva
24492 | Equipe 05 - 429
24493 | , J. ferreira & H. Godói
24494 | , V.S. Virtuoso, R.S. Thomé & I.L. Scuteri
24496 | & R. Barreto
24498 | & A.S. Bezerra
24499 | & A.S. Bezerra
24500 | & A.S. Bezerra
24501 | , J. Ferreira, L.L. Soares & H. Godói
24502 | , J. Ferreira & H. Godói
24503 | , J. Ferreira, L.L. Soares& H. Godói
24504 | , V.S. Virtuoso, R.S. Thomé & C.V. Silva
24505 | , V.S. Virtuoso, R.S. Thomé & I.L. Scuteri
24507 | & A.S. Bezerra
24508 | , N.S. Souza, M. Silva & J.J. Plácido
24509 | & A.S. Bezerra
24511 | , J.A. Silva, I.L. Scuteri & C.V. Silva
24512 | , J.A.O. Freitas, E.V. Freitas & R.W.S Silva
24513 | , J.E.L. Lessa & L.S. Silva
24515 | , L.S. Silva & J.A.O. Oliveira
24516 | , T.A. Meyer & L.S. Silva
24517 | , L.S. Silva & J.A.O. Freitas
24518 | , A.R. Mafra & L.S. Silva
24519 | , L.S. Silva & J.A.O. Freitas
24520 | , T.A. Meyer & L.S. Silva
24521 | , T.A. Meyer & L.S. Silva
24522 | , T.A. Meyer & L.S. Silva
24523 | , M.G. Azevedo & L.S. Silva
24524 | Equipe 05 - 443
24525 | & R.W.S. Silva
24526 | , M. Silva, L.L. Soares & V.S.C. Silva
24527 | , L.S. Silva & J.A.O. Freitas
24529 | , L.S. Silva & J.A.O. Freitas
24530 | , T.A. Meyer & L.S. Silva
24531 | , L. Souza Neto & J.E.L. Lessa
24532 | , J.A.O. Freitas, E.V. Freitas & R.W.S. Silva
24533 | , L. Souza Neto & J.E.L. Lessa
24534 | , M.G. Azevedo & L.S. Silva
24536 | , L.S. Silva & J.A.O Freitas
24537 | , A.R. Mafra & L.S. Silva
24538 | , L.S. Silva & J.A.O. Freitas
24540 | , L.S. Silva & J.A.O. Freitas
24541 | , L.S. Silva & J.A.O. Freitas
24542 | , J.E.L. Lessa & L.S. Silva
24545 | & A.S. Bezerra
24547 | , M. lautert & T.R. Cardoso da Silva
24548 | , M. Lautert & T.R. Cardoso Silva
24550 | , S.A. Antoniazzi & D.C. Dias
24551 | , T.A. Meyer & L.S. Silva
24552 | , A.Z. Bronholi & L. Berticelli
24554 | , D.P. Amorim, A. Salgueiro & C.P. Anderção
24555 | & A.S. Bezerra
24557 | , R. Barreto & C.T. Rodrigues
24558 | , R. Barreto & C.T. Rodrigues
24560 | & A.C. Picoli
24561 | & E.D. Lozano
24562 | , F.F.F. Mazziero, C. Michelon & B.K. Canestraro
24563 | e alunos de Sistemática de Espermatófitas
24566 | , A. Salgueiro, D.P. Amorim & W.C. Mallmann
24567 | , O.G. Pereira & J.J. Plácido
24568 | , E.C. Tomé, J.A. Silva & R.S. Thomé
24569 | , R. Barreto & C.T. Rodrigues
24570 | & A.S. Bezerra
24572 | & L.S. Silva
24573 | & J.A.O. Freitas
24574 | , J.A.O. Freitas e L.S. Silva
24575 | , L. Souza Neto & J.E.L. Lessa
24576 | , L.S. Silva & J.A.O. Freitas
24577 | , T.A. Meyer & L.S. Silva
24578 | , A.R. Mafra & L.S. Silva
24579 | , L.S Silva & J.A.O. Freitas
24580 | & A.S. Bezerra
24581 | , J.R. Sousa, M. Silva & D.P. Amorim
24582 | , L.S. Silva & J.A.O. Freitas
24583 | , L. S. Silva & J.A.O. Freitas
24584 | , J.E. L. Lessa & L.S. Silva
24585 | & R. Cielo-Filho
24586 | & J.A.O. Freitas
24587 | , A.R. Mafra & L.S. Silva
24588 | , L.S. Silva & J.A.O. Freitas
24589 | , A.R. Mafra & L.S. Silva
24590 | , T.A. Meyer & L.S. Silva
24591 | , M.G. Azevedo & L.S. Silva
24592 | , M.G. Azevedo & L.S. Silva
24593 | , J.A.O. Freitas, E.V. Freitas & R.E.S. Silva
24594 | , L.S. Silva & J.A.O. Freitas
24595 | , L.S. Silva & J.A. O. Freitas
24596 | , J.A.O. Freitas & L.S. Silva
24597 | , J.E.L. Lessa & L.S. Silva
24598 | , L. Souza Neto & J.E.L. Lessa
24599 | & L.M. Hase
24600 | , L. Souza Neto
24602 | et al.
24603 | , L. Souza Netoan & J.E.L. Lessa
24604 | , L. Souza Neto & J.E.L. Lessa
24605 | & M. Casais
24606 | & M. Casais
24607 | , L.S. Silva & J.A.O. Freitas
24608 | , L.S. Silva & J.A.O. Freitas
24609 | , J.E.L. Lessa & L.S. Silva
24610 | , L. Souza Neto & J.E.L. Lessa
24611 | , J.A.O. Freitas, E.V. Freitas & R.W.S. Silva
24612 | , L. Souza Neto & J.E.L. Lessa
24613 | & J.A.O. Freitas
24614 | & M.L. Brotto
24615 | & M.L. Brotto
24616 | et al.
24618 | & J.L. Simeão
24619 | , D.K. Sampaio, E. Hofschneider, J.A. Rezini & W. Gebien
24623 | & M.L. Brotto
24624 | , J.E.L. Lessa & L.S. Silva
24625 | et al.
24626 | , L.S. Silva & J.A.O. Freitas
24631 | & J.A.O. Freitas
24632 | , J.E.L. Lessa & L.S. Silva
24633 | , J.E.L. Lessa & L.S. Silva
24634 | & J.A.O. Freitas
24635 | & F. Periotto
24636 | , M.C. Vergne & Manoel Cruz
24637 | , J.A.O.Freitas & L.S. Silva
24638 | & M.L. Guedes
24639 | & T.F. Costa
24641 | & M.C. Vergne
24642 | & R. Cielo-Filho
24643 | & R. Cielo-Filho
24644 | , M.C. Vergne & M. Cruz
24645 | , I. Bayeri & G. Noguchi
24646 | & E. Valduga
24647 | & N.L. Souza
24648 | & G.S. Siqueira
24649 | , C. Demeda, F. Gonzatti & O. Link
24650 | & F. Periotto
24651 | & M.C. Vergne
24652 | , F. Barros & R.J.F. Garcia
24653 | & R. Cielo-Filho
24654 | , L.S. Silva & J.A.O. Freitas
24657 | & V.A. Godoy
24658 | , C. Demeda & F. Gonzatti
24659 | , J.R. Sousa, N.S. Souza & R.A. Oliveira
24660 | , L. Souza Neto & J.E.L. Lessa
24661 | , J.R. Sousa, N.S. Souza & R.A. Oliveira
24663 | , A.R. Mafra & L.S. Silva
24664 | , M.G. azevedo & L.S. Silva
24665 | & J.A.O. Freitas
24667 | , T.R.C. Silva, J.A. Silva & R.A. Oliveira
24668 | & J.A.O. Freitas
24669 | , S.A. Antoniazzi, B.F. Pacheco, L.C. Ferneda Rocha & W.A. Maschio
24671 | & O. Guimarães
24673 | , A. Pott, V. Pott & J.M. Silva
24675 | , L.S. Silva & J.A.O. Freitas
24676 | , L. Souza Neto & J.E.L. Lessa
24677 | , L.S. Silva & J.A.O. Freitas
24678 | , L.S. Silva & J.A.O. Freitas
24679 | , L.S. Silva & J.A.O. Freitas
24680 | , L.S. Silva & J.A.O. Freitas
24681 | , J.A.O. Freitas & L.S. Silva
24682 | , L.S. Silva & J.A.O. Freitas
24683 | , J.A.O. Freitas & L.S. Silva
24684 | , L.S. Silva & J.A.O. Freitas
24685 | , L.S. Silva & J.A.O. Freitas
24686 | , L.S. Silva & J.A.O. Freitas
24687 | & A.S. Bezerra
24688 | , L.S. Silva & J.A.O. Freitas
24689 | , J.A. Silva & I.L. Scuteri
24690 | , J.A. Silva, I.L. Scuteri & C.V. Silva
24692 | , L.M. Hase, A.S. Bezerra & W.A. Maschio
24693 | & A.S. Bezerra
24696 | , J.A. Silva & C. Anderção
24697 | , N.S. Souza, M. Silva & J.J. Plácido
24698 | , E.C. Tomé & J.R. Souza
24699 | , J.A. Silva, I.L. Scuteri & C.V. Silva
24700 | , J.A.O. Freitas & L.S. Silva
24701 | , J.A.O. Freitas, E.V. Freitas & R.W.S. Silva
24703 | , J.E.L. Lessa & L.S. Silva
24704 | , L. Souza Neto & J.E.L. Lessa
24705 | , L. Souza Neto & J.E.L. Lessa
24707 | , J.A.O. Freitas & L.S. Silva
24710 | & T.F. Costa
24711 | & A.S. Bezerra
24712 | , J.R. Sousa, N.S. Souza & R.A. Oliveira
24714 | & A.S. Bezerra
24715 | & A.S. Bezerra
24716 | , J.R. Sousa, N.S. Souza & R.A. Oliveira
24717 | , A.G. Brito, A.L. Oliveira & V.A.L. Soares
24718 | , J.R. Sousa, N.S. Souza & R.A. Oliveira
24719 | , L.C. Ferneda Rocha, A.Z. Bronholi, D.C. Dias, L. Berticelli & S.A. Antoniazzi
24720 | , A.G. Brito, A.L. Oliveira & V.A.L. Soares
24721 | , J.R. Sousa, N.S. Souza & R.A. Oliveira
24722 | , R. Barreto & D.C. Dias
24723 | & A.R. Silva
24724 | & S. Barrim
24725 | & A.S. Bezerra
24726 | & A.S. Bezerra
24727 | , J.A. Silva & C. Anderção
24728 | , M.E. Lautert, S.A. Antoniazi & T. cardoso da Silva
24729 | , J.R. Sousa, N.S. Souza & R.A. Oliveira
24730 | , J.L. Simão, M. Silva & S.C.V. Silva
24731 | , R.P. Hasckel & G. Klemz
24732 | , B. Grosch & G. Klemz
24733 | , J.R. Sousa, M. Silva & D.P. Amorim
24734 | , J.R. Sousa, N.S. Souza & R.A. Oliveira
24735 | & L.M.S. Aquino
24736 | & A.Z. Bronholi
24737 | , H. Lorenzi, M.N. Saka, J. Lombardi & A. Campos Rocha
24738 | , R. Barreto & S.A. Antoniazzi
24739 | & S. Barrim
24740 | , L.M. Hase, A.S. Bezerra & W.A. Maschio
24741 | , J.L. simão, M. Silva & S.C.V. Silva
24743 | , J.L. Simão, M. Silva & S.C.V. Silva
24744 | , J.R. santos, R.N.R. Ferreira & I.N. Silva
24745 | & A.Z. Bronholi
24746 | , A.S. Bezerra, L.H. Berticelli & P.V. Oliveira
24747 | & A.Z. Bronholi
24748 | , J.R. Sousa, N.S. Souza & R.A. Oliveira
24749 | , J.A. Silva, M. Silva & O.G. Pereira
24750 | , V.F. Oliveira, R.S. Thomé & J.A. Silva
24751 | , L. Souza Neto  & J.E.L. Lessa
24752 | , A. salgueiro, D.P. Amorim & R.J. Sousa
24753 | , T.A. Meyer & L.S. Silva
24755 | , L.S. Silva & J.A.O. Freitas
24757 | , J.A.S. Oliveira & M. Mercadante
24758 | & H.J. da Costa Moreira
24759 | , T.A. Meyer & L.S. Silva
24760 | , G. Hoffmann & M. Ianela
24761 | , G. Hoffmann & M. Ianela
24762 | , N.S. Souza, M. Silva & J.J. Plácido
24763 | L. Souza Neto & J.E.L Lessa
24764 | L. Souza Neto & J.E.L Lessa
24765 | L.S. Silva & J.A.O. Freitas
24766 | L. Souza Neto, J.E.L. Lessa
24767 | L. Souza Neto & J.E.L. Lessa
24768 | L.S. Silva & J.A.O. Freitas
24769 | A.S.Bezarra
24770 | M. Silva & O.G. Pereira.
24771 | J.A. Silva, R.N.Rodrigues & O.G. Pereira
24773 | R. Barreto
24774 | J.A. Silva & I.L. Scuteri
24775 | V.F.Oliveira & R.S. Thomé
24776 | V.S. Virtuoso & R.S. Thomé.
24777 | M. Lautert
24780 | L.C. Ferneda Rocha & R. Barreto
24783 | , N.S. Souza, J.J. Plácido & L.C. Ferneda Rocha
24784 | & A.Z. Bronholli
24785 | , V.S. Virtuoso & R.S. Thomé
24786 | , A. Salgueiro, D.P. Amorim & C.P. Anderção
24787 | , V.S. Virtuoso & R.S. Thomé
24788 | & A.S. Bezerra
24789 | , O.G. Pereira, M. Silva & J.J. Plácido
24790 | , V.F. Oliveira, R.S. Thomé & J.A. Silva
24791 | , V.F. Oliveira, R.S. Thomé & J.A. Silva
24792 | , V.F. Oliveira, R.S. Thomé & J.A. Silva
24793 | , V.F. Oliveira, R.S. Thomé & J.A. Silva
24794 | , V.F. Oliveira, R.S. Thomé & J.A. Silva
24795 | , V.F. Oliveira, R.S. Thomé & J.A. Silva
24796 | D.P. Amorim, A. Salgueiro & C.P. Anderção
24797 | N.S. Souza, M. Silva & D.P. Amorim
24798 | N.S. Souza, M. Silva & J.J. Plácido
24799 | N.S. Souza, M.Silva & J.J. Plácido
24800 | H. Lorenzi, M.N. Saka, J.Lombardi & A. Campos Rocha
24801 | & R.Barreto
24802 | V.F. Oliveira, R.S. Thomé & J.A. Silva.
24804 | , R.P. Hasckel & G. Klemz
24805 | , R.P. Hasckel & G. Klemz
24806 | & A. Kniess
24807 | , R.P. Hasckel & G. Klemz
24808 | , E. Legal & S. Silveira
24809 | , D. Santos, G. Bollman & D.A. Silva
24810 | N.L. de Souza, G. Klemz & D.H.Klettenberg
24811 | , N.L. de Souza, G. Klemz & D.H. Klettenberg
24812 | , E. Legal & S. Silveira
24813 | & F.E. Carneiro
24814 | , E. Legal & S. Silveira
24815 | & G. Hassemer
24817 | , A.L. Tomazi & G. Klemz
24818 | , R.P. Hasckel & G. Klemz
24819 | & S. Silveira
24820 | , D. Meyer & S. Silveira
24821 | , R.P. Hasckel & G. Klemz
24823 | , E. Legal & S. Silveira
24824 | , N.L. de Souza & G. Klemz
24825 | , D.H. Klettenberg & G. Klemz
24826 | , M.D. Alberton & M. Echterhoff
24827 | , E. Legal & S. Silveira
24828 | & A. Kniess
24829 | , N.L. de Souza, G. Klemz & D.H. Klettenberg
24830 | , E. Legal & S. Silveira
24837 | , D.K. Sampaio, E. Hofschneider, J.A. Rezini & W. Gebien
24840 | , D. Santos, G. Bollmann & D.A. Silva
24841 | , D. Santos, G. Bollmann & D.A. Silva
24842 | & G. Hassemer
24843 | , D. Santos, G. Bollmann & D.A. Silva
24844 | & G. Hassemer
24851 | , D.K. Sampaio, E. Hofschneider, J.A. Rezini & W. Gebien
24854 | , D.K. Sampaio, E. Hofschneider, J.A. Rezini & W. Gebien
24857 | , D.K. Sampaio, E. Hofschneider, J.A. Rezini & W. Gebien
24859 | & G. Hassemer
24860 | , A. Uhlmann & E. Caglioni
24864 | , A.L. de Gasper, F. Bittercourt, C. Vieira & A. Kassner-Filho
24867 | , D. Santos, G. Bollmann & D.A. Silva
24870 | & A.L. de Gasper
24877 | , D. Santos, G. Bollmann & D.A. Silva
24879 | , D. Santos, G. Bollmann & D.A. Silva
24882 | , E.M. Martins & O.N. Veiga
24891 | & M. Verdi
24892 | & A. Kniess
24893 | , E. Legal, D. Meyer & S. Silveira
24894 | , D. Santos, G. Bollmann & D.A. Silva
24895 | , D. Santos, G. Bollmann & D.A. Silva
24896 | , D. Santos, G. Bollmann & D.A. Silva
24899 | & A. Kniess
24900 | & A. Kniess
24901 | , D. Santos, G. Bollmann & D.A. Silva
24903 | & S. Silveira
24904 | , D. Meyer & S. Silveira
24905 | & A. Kniess
24908 | , B. Grosch & G. Klemz
24909 | , N.L. de Souza & G. Klemz
24910 | , R.P. Hasckel & G. Klemz
24911 | , D.H. Klettenberg & G. Klemz
24912 | , E.L. Siqueira, H. Zubek & L.F. Brito
24913 | , E.L. Siqueira, H. Zubek & L.F. Brito
24914 | , E.L. Siqueira, H. Zubek & L.F. Brito
24915 | , E.L. Siqueira, H. Zubek & L.F. Brito
24916 | , E.L. Siqueira, H. Zubek & L.F. Brito
24917 | , E.L. Siqueira, H. Zubek & L.F. Brito
24918 | , E.L. Siqueira, H. Zubek & L.F. Brito
24919 | , E.L. Siqueira, H. Zubek & L.F. Brito
24920 | , E.L. Siqueira, H. Zubek & L.F. Brito
24921 | , E.L. Siqueira, H. Zubek & L.F. Brito
24922 | , E.L. Siqueira, H. Zubek & L.F. Brito
24923 | , E.L. Siqueira, H. Zubek & L.F. Brito
24924 | , E.L. Siqueira, H. Zubek & L.F. Brito
24925 | , E.L. Siqueira, H. Zubek & L.F. Brito
24926 | , E.L. Siqueira, H. Zubek & L.F. Brito
24927 | , E.L. Siqueira, H. Zubek & L.F. Brito
24928 | , E.L. Siqueira, H. Zubek & L.F. Brito
24929 | , E.L. Siqueira, H. Zubek & L.F. Brito
24930 | , E.L. Siqueira, H. Zubek & L.F. Brito
24931 | , E.L. Siqueira, H. Zubek & L.F. Brito
24932 | , E.L. Siqueira, H. Zubek & L.F. Brito
24933 | , E.L. Siqueira, H. Zubek & L.F. Brito
24934 | , E.L. Siqueira, H. Zubek & L.F. Brito
24935 | , E.L. Siqueira, H. Zubek & L.F. Brito
24936 | , E.L. Siqueira, H. Zubek & L.F. Brito
24937 | , E.L. Siqueira, H. Zubek & L.F. Brito
24938 | , E.L. Siqueira, H. Zubek & L.F. Brito
24939 | , E.L. Siqueira, H. Zubek & L.F. Brito
24940 | , E.L. Siqueira, H. Zubek & L.F. Brito
24941 | , E.L. Siqueira, H. Zubek & L.F. Brito
24942 | , E.L. Siqueira, H. Zubek & L.F. Brito
24943 | , E.L. Siqueira, H. Zubek & L.F. Brito
24944 | , E.L. Siqueira, H. Zubek & L.F. Brito
24945 | , E.L. Siqueira, H. Zubek & L.F. Brito
24946 | , E.L. Siqueira, H. Zubek & L.F. Brito
24947 | , E.L. Siqueira, H. Zubek & L.F. Brito
24948 | , E.L. Siqueira, H. Zubek & L.F. Brito
24949 | , E.L. Siqueira, H. Zubek & L.F. Brito
24950 | , E.L. Siqueira, H. Zubek & L.F. Brito
24951 | , E.L. Siqueira, H. Zubek & L.F. Brito
24952 | , E.L. Siqueira, H. Zubek & L.F. Brito
24953 | , E.L. Siqueira, H. Zubek & L.F. Brito
24954 | , E.L. Siqueira, H. Zubek & L.F. Brito
24955 | , E.L. Siqueira, H. Zubek & L.F. Brito
24956 | , E.L. Siqueira, H. Zubek & L.F. Brito
24957 | , E.L. Siqueira, H. Zubek & L.F. Brito
24958 | , E.L. Siqueira, H. Zubek & L.F. Brito
24959 | , E.L. Siqueira, H. Zubek & L.F. Brito
24960 | , E.L. Siqueira, H. Zubek & L.F. Brito
24961 | , E.L. Siqueira, H. Zubek & L.F. Brito
24962 | , E.L. Siqueira, H. Zubek & L.F. Brito
24963 | , E.L. Siqueira, H. Zubek & L.F. Brito
24964 | , E.L. Siqueira, H. Zubek & L.F. Brito
24965 | , E.L. Siqueira, H. Zubek & L.F. Brito
24966 | , E.L. Siqueira, H. Zubek & L.F. Brito
24967 | , E.L. Siqueira, H. Zubek & L.F. Brito
24968 | , E.L. Siqueira, H. Zubek & L.F. Brito
24969 | , E.L. Siqueira, H. Zubek & L.F. Brito
24970 | , E.L. Siqueira, H. Zubek & L.F. Brito
24971 | , E.L. Siqueira, H. Zubek & L.F. Brito
24972 | , E.L. Siqueira, H. Zubek & L.F. Brito
24973 | , E.L. Siqueira, H. Zubek & L.F. Brito
24974 | , E.L. Siqueira, H. Zubek & L.F. Brito
24975 | , E.L. Siqueira, H. Zubek & L.F. Brito
24976 | , E.L. Siqueira, H. Zubek & L.F. Brito
24977 | , E.L. Siqueira, H. Zubek & L.F. Brito
24978 | , E.L. Siqueira, H. Zubek & L.F. Brito
24979 | , E.L. Siqueira, H. Zubek & L.F. Brito
24980 | , E.L. Siqueira, H. Zubek & L.F. Brito
24981 | , E.L. Siqueira, H. Zubek & L.F. Brito
24982 | , E.L. Siqueira, H. Zubek & L.F. Brito
24983 | , E.L. Siqueira, H. Zubek & L.F. Brito
24984 | , E.L. Siqueira, H. Zubek & L.F. Brito
24985 | , E.L. Siqueira, A. Moraes & H. Zubek
24986 | , E.L. Siqueira, A. Moraes & H. Zubek
24987 | , E.L. Siqueira, A. Moraes & H. Zubek
24988 | , E.L. Siqueira, A. Moraes & H. Zubek
24989 | , E.L. Siqueira, A. Moraes & H. Zubek
24990 | , E.L. Siqueira, A. Moraes & H. Zubek
24991 | , E.L. Siqueira, A. Moraes & H. Zubek
24992 | , E.L. Siqueira, A. Moraes & H. Zubek
24993 | , E.L. Siqueira, A. Moraes & H. Zubek
24994 | & E.L. Siqueira
24995 | & T. Santos
24996 | & T. Santos
24997 | & T. Santos
24998 | & T. Santos
24999 | & T. Santos
25000 | & T. Santos
25001 | & T. Santos
25002 | & T. Santos
25003 | & T. Santos
25004 | & T. Santos
25005 | & E.L. Siqueira
25006 | , P.R. Robson & A. Spielmann
25009 | , J.L.C.S. Almeida, G.P. Freitas & M.G.G. Carrijo
25010 | , S. Torrecilha, J.L.C.S. Almeida & M.G.G. Carrijo
25011 | , J.L.C.S. Almeida, G.P. Freitas & M.G.G. Carrijo
25012 | , S. Torrecilha, J.L.C.S. Almeida & M.G.G. Carrijo
25013 | & V.J. Pott
25014 | , J.L.C.S. Almeida, G.P. Freitas & M.G.G. Carrijo
25015 | , G.C.A. Bisewski & T. Westphal
25016 | , E.V. Ferreira & G.K. Plodowski
25017 | , E.V. Ferreira & E.M. Zanette
25018 | , E.V. Ferreira & E.M. Zanette
25019 | , E.V. Ferreira & G.K. Plodowski
25020 | , E.V. Ferreira & G.K. Plodowski
25021 | , E.V. Ferreira & E.M. Zanette
25023 | et al.
25024 | et al.
25025 | et al.
25026 | , M.C. Twardowschy & S.Y. Bianco
25027 | , E.V. Ferreira & G.K. Plodowski
25028 | , E.V. Ferreira & E.M. Zanette
25029 | , E.V. Ferreira & G.K. Plodowski
25030 | & C. Simão
25032 | , E.V. Ferreira & G.K. Plodowski
25033 | , M.L. Brotto & S.L.S. Mayer
25034 | , B.R. Araújo & M.C. Blanco
25035 | , B.R. Araújo & M.C. Blanco
25036 | , M.C. Bianco & I.D.C. Cruz
25037 | , T.M. Ré, H. Zubek, T. Santos
25038 | , T.M. Ré, H. Zubek, T. Santos
25039 | , B.R. Araújo & M.C. Bianco
25040 | , M.C. Bianco & I.D.C. Cruz
25041 | , B.R. Araújo & M.C. Blanco
25042 | , E.V. Ferreira & G.K. Plodowski
25043 | , M. Twardowschy & S.Y. Bianco
25044 | , M.C. Blanco & I.D.C. Cruz
25045 | , M.C. Blanco & I.D.C. Cruz
25046 | , M.C. Blanco & I.D.C. Cruz
25047 | , T.M. Ré, H. Zubek & T. Santos
25048 | , T.M. Ré, H. Zubek & T. Santos
25049 | , T.M. Ré, H. Zubek & T. Santos
25050 | , T.M. Ré, H. Zubek & T. Santos
25051 | , T.M. Ré, H. Zubek & T. Santos
25052 | , T.M. Ré, H. Zubek & T. Santos
25053 | , T.M. Ré, H. Zubek & T. Santos
25054 | , T.M. Ré, H. Zubek & T. Santos
25055 | , T.M. Ré, H. Zubek & T. Santos
25056 | , T.M. Ré, H. Zubek & T. Santos
25057 | , T.M. Ré, H. Zubek & T. Santos
25058 | , T.M. Ré, H. Zubek & T. Santos
25059 | , T.M. Ré, H. Zubek & T. Santos
25060 | , T.M. Ré, H. Zubek & T. Santos
25061 | , T.M. Ré, H. Zubek & T. Santos
25062 | , T.M. Ré, H. Zubek & T. Santos
25063 | , T.M. Ré, H. Zubek & T. Santos
25064 | , T.M. Ré, H. Zubek & T. Santos
25065 | , T.M. Ré, H. Zubek & T. Santos
25066 | , T.M. Ré, H. Zubek & T. Santos
25067 | , T.M. Ré, H. Zubek & T. Santos
25068 | , T.M. Ré, H. Zubek & T. Santos
25069 | , T.M. Ré, H. Zubek & T. Santos
25070 | , T.M. Ré, H. Zubek & T. Santos
25071 | , T.M. Ré, H. Zubek & T. Santos
25072 | , T.M. Ré, H. Zubek & T. Santos
25073 | , T.M. Ré, H. Zubek & T. Santos
25074 | , T.M. Ré, H. Zubek & T. Santos
25075 | , T.M. Ré, H. Zubek & T. Santos
25076 | & T. Santos
25077 | & T. Santos
25078 | & T. Santos
25079 | & T. Santos
25080 | & T. Santos
25081 | & T. Santos
25082 | & T. Santos
25083 | & T. Santos
25084 | & T. Santos
25085 | & T. Santos
25086 | & T. Santos
25087 | & T. Santos
25088 | & T. Santos
25089 | & T. Santos
25090 | & T. Santos
25091 | & T. Santos
25092 | & T. Santos
25093 | & T. Santos
25094 | , M.C. Twardowschy & S.Y. Bianco
25095 | , M.C. Twardowschy & S.Y. Bianco
25096 | , B.R. Araújo & M.C. Blanco
25097 | , G.C.A. Bisewski & T. Westphal
25098 | , R.G.P. Machado & T. Westphal
25099 | , G.C.A. Bisewski & T. Westphal
25101 | & V.J. Pott
25102 | , E.V. Ferreira & G.K. Plodowski
25103 | , R.G.P. Machado & T. Westphal
25104 | , R.G.P. Machado & T. Westphal
25105 | , R.G.P. Machado & T. Westphal
25106 | , E.L. Siqueira, H. Zubek & L. Brito
25107 | & P.C. Ferreira
25108 | , B.R. Araújo & M.C. Bianco
25109 | , M.C. Bianco & I.D.C. Cruz
25110 | , M.C. Twardowsky & S.Y. Bianco
25111 | , M.C. Twardowschy
25112 | , M.C. Twardowschy & S.Y. Bianco
25113 | , E.L. Siqueira & J. Pommer
25114 | & E.M. Zanette
25115 | , E.V. Ferreira & E.M. Zanette
25116 | , M.C. Twardowschy & S.Y. Bianco
25117 | , M.C. Twardowschy & S.Y. Bianco
25118 | , M.C. Twardowschy & S.Y. Bianco
25119 | , M.C. Twardowschy & S.Y. Bianco
25120 | , J.L.C.S. Almeida, G.P. Freitas & M.G.G. Carrijo
25121 | & V.J. Pott
25122 | , J.L.C.S. Almeida, G.P. Freitas & M.G.G. Carrijo
25123 | , J.L.C.S. Almeida, G.P. Freitas & M.G.G. Carrijo
25124 | , J.L.C.S. Almeida & M.G.G. Freitas
25127 | , J.L.C.S. Almeida, G.P. Freitas & M.G.G. carrijo
25129 | , M.C. Twardowschy & S.Y. Bianco
25130 | , R.G.P. Machado & T. Westphal
