NUM_IDENTIFICADOR | NOME
461 | T.A. Beckhauser
462 | C. Ezcina
463 | I. Koch
464 | R.C. Tardivo
465 | J. Iganci
466 | H. Robinson & S.F. Smith
467 | F.S. Meyer & M.E. Engels
468 | M. Grings
469 | J.F.Q. Faria Júnior
470 | O.S. Ribas & B.K. Canestraro
471 | J.M. Silva
472 | L. Rico
473 | D. Girardo-Cañas & F. Biganzoli
474 | F.S. Araújo
475 | M.L.O. Trovó
476 | Pe. Leopoldo Krieger
477 | S.A.C. Chiea
478 | L. Fiorato
479 | R. Lüdtke
480 | G. Pedralli
481 | N. Roque
482 | N.F.O. Mota
483 | M.P. Morin
484 | L.C.S. Assis
485 | D.B. Falkenberg
486 | A.T. Hunziker
487 | R. Goldenberg & F.B. Matos
488 | F. Smith
489 | A.M. Giulietti
490 | F. Gonzatti, E. Valduga & C. Mynssen
491 | L.M. Moura
492 | M.S. Marchioretto
493 | P.L. Miranda
494 | G. Lewis
495 | P.O. Garcia
496 | T.E. Almeida & A. Salino
497 | M.G. Bovini
498 | S. Silveira
499 | E. Guimarães
500 | L.R. Senna
501 | B. Marazzi
502 | C.A. Mentz
503 | J. Koch
504 | I.E.Q. Faria Júnior
505 | A.C. Silva
506 | O.S. Ribas & J.M. Silva
507 | E.A. Oliveira
508 | M. Petean
509 | L.R. Scrivanti
510 | R. Subilis
511 | P. Bonin Jr.
512 | P. Ferreira
513 | F. David
514 | D.Z. Miller
515 | C.T. Blum & P.M. Hoffmann
516 | M.Y. Bardelli-da-Silva
517 | R.R. Völtz & C.T. Blum
518 | D.Z. Miller & C.T. Blum
519 | A. Lacerda
520 | R.S. Fernandes & M.R. Pietrobom
521 | E.C. Smith
522 | A. Stival-Santos
523 | F. Hurbath
524 | J. Tonon Jr.
525 | R. Bonaldi
526 | P.L. Viana
527 | W.A. Rodrigues
528 | M.B. Alves
529 | F. Camargo
530 | A.C.B. Silva
531 | R. Schmidt
532 | J. Lemos
533 | J.G. Kray
534 | A.C.M. Cristaldo
535 | R. Wasum
536 | M.G.L. Wanderley
537 | L.F. Bacci
538 | R.E. Ardissone
539 | P. Weber
540 | H. Ignowski
541 | M.K. Caddah
542 | M.O.O. Pellegrini
543 | G.M. Antar
544 | R.S. Oliveira
545 | L. Giacomin
546 | Windish
547 | D. Cardoso
548 | Rapini
549 | A.M. Leeuwenberg
550 | A.M. de Carvalho
551 | A. Lourteig
552 | R. Barneby
553 | M.L. Brotto & O.S. Ribas
554 | G. Felitto & P. Larocca
555 | I. Cordeiro & O.L.M. Silva
556 | O.L.M. Silva & I. Cordeiro
557 | H.C. Lima
558 | R. Kersten
559 | M. Reginato
560 | S.F. Pereira
561 | E. Valduga et alli
562 | C. Anderson
563 | M.C. Marques
564 | N. Nensold
565 | R.L.C. Bortoluzzi
566 | R.Senna
567 | H. Longhi-Wagner
568 | A.L. Gaglioti
569 | H.N. Moldenke
570 | A. Bidá
571 | P. Dias
572 | R. Mello-Silva
573 | M.M. Arbo
574 | R. Gehacon
575 | G.M. Antar & L.M. Borges
576 | G.M. Antar & C.N. Fraga
577 | A.J. Fernandes Jr.
578 | I.S. Abreu
579 | A.J. Vega
580 | C.D. Inácio
581 | C.D. Inácio & A.P. Schmitz
582 | F. Salimena
583 | M. Mendoza
584 | B.S. Amorim
585 | A.R. Zuntini
586 | A. Rosado
587 | C.Y'G. Manão
588 | J. Prado
589 | C.R. Carneiro
590 | L.C. Ferneda Rocha
591 | L.B. Alves
592 | A. Salino & T.E. Almeida
593 | Silvana Vieira
594 | J.N. Krüger
595 | L. Kollmann
596 | A.P. Fontana
597 | J.F. Montenegro
598 | G.H. Shimizu
599 | M. Kirizowa
600 | E. Valduga
601 | T. Lobato
602 | L.R. Noblick
603 | E. Humbeth
604 | A.P. Fortuna-Perez
605 | T.N. Cabreira
606 | S.P. Cocco
607 | G.H. Silva
608 | I.A. Pacheco
609 | J. Semir; J.R. Stehmann
610 | E. Cabral
611 | R. Goldenberg; F.S. Meyer; P.J.F. Guimar
612 | K.L.V.R. de Sá & A.O.S. Vieira
613 | D.A. Estevan & A.O.S. Vieira
614 | A.K. Hassuike-Dolibaina
615 | F. David; J. Cordeiro
616 | M.E. Engels & E. Barboza
617 | R. Coraiola & B.K. Canestraro
618 | L. Cardoso
619 | E. Barboza & V.C. Martin
620 | O.S. Ribas & P.S. Schwirkowski
621 | V. Daniel
622 | L. Pataro
623 | H.A. Ogasawara
624 | P. Fiaschi
625 | A.F. Germani
626 | D. Marques
627 | A. Schinini
628 | J.A. Mentz
629 | P. Guimarães
630 | R.G. Perani
631 | J. Aranha
632 | L.R. Lima
633 | R. Furtunato
634 | J. Fontella
635 | C. Abreu
636 | F. Dez Casas
637 | R.R. Silva & A.C. Cervi
638 | R. Harley
639 | M.V. Lima
640 | D.C. Lima
641 | M.L.D'El Rei Souza
642 | L.J.S. Pinto
643 | F. Santos-Silva
644 | M.C. Assis
645 | J. Cordeiro & C.L. Padilha
646 | M.A. Farinaccio
647 | A.F.P. Machado
648 | D.M. Freitas
649 | E.D. Lozano & V.C. Martin
650 | M.E.S. Kreusch
651 | T.M. Scarponi et al.
652 | M. Gomes
653 | D.C. Imig & A.C. Cervi
654 | R. Andreata
655 | J.A.M. Melo
656 | A.J. Castelo
657 | J. Dutilh
658 | D. Voht
659 | Prado
660 | M.G. Facco
661 | L.K.R. Hinoshita
662 | G.C. Delgado-Filho
663 | K.A. Freitas
664 | J. Durigon
665 | C. Siniscalchi
666 | V. Terra
667 | A.A. Schneider
668 | M. Augusto-Silva
669 | D. Roher
670 | L. Makings
671 | B.J. Lepschi
672 | M. Velayos & C. Aedo
673 | J.L.S. Tannus
674 | L. Bira
675 | R.Y. Hirai
676 | L.G. Coelho
677 | M.A. Jaramillo
678 | V.C. Martin
679 | C.A. Garcia
680 | V.L. Uliana
681 | J. Cordeiro; A.F. Germani
682 | C. Vogel-Ely
683 | M. Silva
684 | S. Vieira
685 | M.L. Brotto & J. Cordeiro
686 | P.C. Ferreira
687 | M.G. Caxambú & G.A. Dettke
688 | J. Cordeiro & J.T. Motta
689 | R. Morales
690 | SPDP
691 | J. Güemes
692 | J.M. Cardiel
693 | M. Ferrucci
694 | M.G. Brini
695 | L. Perret
696 | A.F. Germani
697 | W.C. Homes
698 | J. Freitas
699 | W. Till
700 | J. Carneiro
701 | D. Demateis
702 | E.M.C. Leme
703 | V. Bittrich
704 | L.A. Funez
705 | V.J. Arán
706 | E.L. dos Santos
707 | C.C. Araújo
708 | L.G. Temponi
709 | J. Cordeiro & J.M. Silva
710 | M. Barros
711 | S. Martins
712 | D.A.T. Silva; G. Felitto
713 | R. Camargo
714 | F.V. Mansano
715 | M.P. Petean; G. Felitto
716 | J.M. Silva; G. Felitto
717 | E. Martinez
718 | L.V. Amaral
719 | C.C.de Araújo & G.A. Dettke
720 | R.C. Fortunato
721 | M.T. Strong
722 | P. Larocca & E. Barbosa
723 | M.L. Brotto & E. Barboza
724 | C. Takeuchi
725 | R. Mendonça
726 | A.E.M. Rosa
727 | O.S. Ribas & M.L. Brotto
728 | E.D. Lozano & M. Selusniaki
729 | C.V. Mendonça Filho
730 | R.F.S. Possette
731 | A.C. Pscheidt
732 | L.C. Bernacci
733 | L.C. Lannoy
734 | J. Nakajima
735 | C.M. Siniscalchi
736 | J. Dutihl
737 | R.L. Soares Neto
738 | L. Senna
739 | S. Splett
740 | C.W. Fagg
741 | B.M.T. Walter
742 | M. Peres
743 | N. Marquete
744 | T.J. Cadorin
745 | A. Korte
746 | A. Kniess
747 | T. Machado-Silva
748 | R.C. Seubert
749 | A.A. de Oliveira
750 | J.Z. Berger
751 | H.F. Uller
752 | J. Schmitt
753 | M.J. Rigon-Junior
754 | R.C. Mota
755 | P.R.F. Amorim
756 | E.H.P. Barreto
757 | S. Honda
758 | W.R. Ferreira
759 | L. Sevegnani
760 | A. Teles
761 | L.M. Ceolin
762 | A.A. Arantes
763 | Monteiro
764 | L.V.S.M.
765 | M.T. Martinez
766 | J.P. Borges & L.G. Temponi
767 | A.L. Andrade
768 | J.P. Borges
769 | M. Lautert
770 | J.P. Borges; T.L. Tiscoski
771 | M.T. Martinez & R.S. Viveros
772 | L. Boff
773 | G. Felitto & D. Roher
774 | R.C.P. Neves
775 | E. Mollo
776 | V.A. Alves
777 | A.L.R. dos Santos & C. Kozera
778 | T.L. Tiscoski
779 | M.L. Toderke
780 | T.L. Tiscoski & L.G. Temponi
781 | M.T. Cota & G.M. Antar
782 | P. Fiaschi & R.J.F. Garcia
783 | M.V. Ibrahim & K.A. Stadnik
784 | L.C. Pederneiras
785 | M.F. Devecchi
786 | S.A.P. Godoy
787 | M.F. Calió
788 | B. Maia Souza
789 | Guaghanone & Gattuso
790 | E. Barboza & M.L. Brotto
791 | D. Roher & E. Barboza
792 | R. Rodrigues
793 | E. Pereira
794 | T. Konno
795 | J.K. Hammes
796 | P. Ravenna
797 | L.F. Stencel
798 | W. Montovani
799 | D.Y.A.C. Santos et al.
800 | F.F. Leggieri
801 | S. Dressler
802 | M. Escaramai
803 | V.F.G.A.P. Lima
804 | L.G.P.A. Aguiar
805 | A. Kepel
806 | K.F. Santos
807 | H. Serafim
808 | A.L. Freitas
