codigo;local;regiao_do_local;cidade;estado;pais
3603;"Fazenda Pé-de-Serra, na zona rural, ";"próximo à Capelinha de São Roque";"Cabaceiras do Paraguassu";BA;Brasil
3664;"Serra das Ninfas. Fazenda dos Correa. No";"local de exploração de rocha.";"São Tomé das Letras";MG;Brasil
3678;"Rod. BR-262, 2-3 km a leste de Realeza";NULL;Realeza;MG;Brasil
3685;Araçá;NULL;"Serro Negro";SC;Brasil
3746;" ";NULL;Juquiri;RS;Brasil
3776;"Usina da Toca";NULL;"Sâo Francisco de Paula";RS;Brasil
3787;"Rio Oratório/ Cabo Aéreo";NULL;"Lauro Müller";SC;Brasil
3791;"Linha Dalchiovão";NULL;Itaberaba;SC;Brasil
3850;"Mato Dentro: Serra da Cantareira";NULL;Mariporã;SP;Brasil
4027;" ";NULL;"Rancho Alegre do Oeste";PR;Brasil
4040;"Rod. BR-163";NULL;"Pedro Gomes";PR;Brasil
4044;Canabrava;NULL;Olivença;MG;Brasil
4107;"Fazenda do Caju (EMBRAPA)";NULL;"Itaporanga D'Ajuda";SE;Brasil
4108;"Povoado das Moças, estrada de chão";NULL;Condeúbas;BA;Brasil
4110;"Lajeado da Igreja.";NULL;"Elisio Medrado";BA;Brasil
4119;"Resgate de FLORA da UHE Colider, Beira";"estrada indo para o lote B de supressão";Colider;MT;Brasil
4120;"Resgate de FLORA da UHE Colider. Estrada";"acesso ao lote B e G, próx.Pé de Galinha";Colider;MT;Brasil
4127;"Resgate da FLORA dsa UHE Colider.Caminho";"para a Usina";Colider;MT;Brasil
4131;"Resgate de FLORA da UHE Colider.";NULL;Colider;MT;Brasil
4132;"Resgate de FLORA da UHE Colider. Lote";Ilha;Colider;MT;Brasil
4133;"Resgate de FLORA da UHE Colider. Estrada";"de acesso à UHE Colider";Colider;MT;Brasil
4139;"Resgate de FLORA da UHE Colider, Rodovia";"Colider-Nova Santa Helena";Colider;MT;Brasil
4143;"Praça Central da cidade";NULL;Colider;MT;Brasil
4170;"Serra de Maracaju";NULL;Aquidauana;MT;Brasil
4259;" ";NULL;"Capitão Leonidas Marques";PR;Brasil
4260;"Viveiro, sementes da UEJR";NULL;"Capitão Leonidas Marques";PR;Brasil
4261;"próximo ao escritório do Horto";NULL;"Capitão Leonidas Marques";PR;Brasil
4263;"Baixo Iguaçu";NULL;"Capitão Leonidas Marques";PR;Brasil
4280;"Alto Alegre do Iguaçu";NULL;"Capitão Leonidas Marques";PR;Brasil
4303;" ";NULL;"Pérola do Oeste";PR;Brasil
4304;"Sítio Sr. Cleiton, Alto Alegre";NULL;"Capitão Leonidas Marques";PR;Brasil
4307;"margem da PR-151, entre Piraí e Jaguaria";íva;"Joaquim Murtinho";PR;Brasil
4395;"Praia Grande";NULL;"São Frncisco do Sul";SC;Brasil
4462;"Parque Nacional de Sete Cidades, 5ª Cida";de;Piracurura;PI;Brasil
4474;" ";NULL;Barapuã;SP;Brasil
4479;"Estação Repetidora da Telebrasília de";Roncador;"Água Fria";GO;Brasil
4486;" ";NULL;Primavera;PR;Brasil
4508;"Rodovia BR-050. Km 222";NULL;"Campo Alegre";GO;Brasil
4513;"Rodovia GO-118, 20-30 Km ao sul de São";"José da Aliança";"São José da Aliança";GO;Brasil
4515;"Rodovia DF-345, Km 5-10, próximo a";Planaltina;Planaltina;DF;Brasil
4541;"estrada para Salesópolis";NULL;"Biritiba Mirim";SP;Brasil
4546;" ";NULL;"Taquaratinga do Norte";PE;Brasil
4591;"Rodovia Jaíba-Itacarambi, próximo a";Mocambinho;Mocambinho;MG;Brasil
4643;"próximo do Rio Piava";NULL;Mocugê;BA;Brasil
4651;"10 Km N de São João da Aliança";NULL;"São João da Aliança";GO;Brasil
4652;"Serra do Urucum";NULL;Corumbá;MT;Brasil
4658;"estrada do Gaturama";NULL;Corumbá;MT;Brasil
4661;"Morro da Pedra Branca";NULL;"Pocinhos do Rio Verde";MG;Brasil
4685;"Rio Chopinzinho";NULL;Barracão;SC;Brasil
4706;"Rodeio Colorado";NULL;"Pinheiro Machado";PR;Brasil
4724;"Parque dos Orixás";NULL;Olivença;BA;Brasil
4727;"Fazenda Ochsenfeld";NULL;"Barra do Bugre";MT;Brasil
4729;"Rodovia BR-247, próximo ao Córrego do";Veado;"Barra dos Bugres";MT;Brasil
4737;"Rodovia BR-163";NULL;Bandeirantes;MT;Brasil
4745;"Rodovia BR-163, 3 Km S do Rio Piqui";NULL;Sonora;MT;Brasil
4748;"Estrada Alto Paraíso a Campo Belo, Km 8";NULL;"Alto Paraíso";GO;Brasil
4765;"Rodovia BR-267";NULL;Bataguaçu;MT;Brasil
4767;Brasilândia;NULL;Tupiratins;GO;Brasil
4777;"8 miles S of Hwy 69 on 197, then 0,2";"mi. E on 670. ca 10 miles SE of Prescott";"Prescott - Yavapai County";" ";"Estados Unidos"
4781;"SW-FuB des Pfaffenberges, zw. Bhf. Bad-";"Deutsch Altenburg und Bildstock";"Niederösterreich, Hainburger Berge";" ";Austria
4807;"3,3 Km N of (below) the pass at the head";"of the Zongo Valley";"Departamento La Paz/ Província Murillo";" ";Bolívia
4811;"1 Km ao Norte";NULL;Coxim;MT;Brasil
4817;"Lagoa do Bina";NULL;Jacareacanga;MT;Brasil
4826;"Fazenda Cauaia, afloramento de calcário";NULL;Matozinho;MG;Brasil
4830;"Serra do Rio do Rastro";NULL;"Lauro Müller";SC;Brasil
4835;"margem da rodovia PA-242, Fazenda Pedro";Elias;"Peixe Boi";PA;Brasil
4843;"ca. 1,5 miles North of Hwy. 287, ca.";"1,2 miles west of Chambers Creek";"Navarro County";" ";E.U.A.
4855;"Cerro de Palomas, Torre de Transmissão";"da VIVO";"Santa Ana do Livramento";RS;Brasil
4860;"ca. 2 miles W of Lajitas";NULL;"Presidio County/Lajitas Canyon";" ";E.U.A.
4865;"Tonto National Forest. Hwy 87, near road";"to Four Peaks, R8E, T3N.";"Arizona - Maricopa County";" ";"Estados Unidos"
4908;"Refúgio Binacional de Maracajú";NULL;Maracajú;MS;Brasil
4924;"Serra do Espigão";NULL;"São Sebastião do Sul";SC;Brasil
4928;BR-277;NULL;" ";PR;Brasil
4980;Usina;NULL;Quevedo;RS;Brasil
5004;"estrada para Pinhão";NULL;PInhão;SE;Brasil
5010;BR-104;NULL;"São José da Laje";PE;Brasil
5016;"Lagoa Urtiga";NULL;"São José do Mipibu";RN;Brasil
5017;"Lagoa do Fumo";NULL;"São José do Mipibu";RN;Brasil
5027;"Usina Trapiche, Engenho Coelhas, ";"interior da mata";Sirinhaem;PE;Brasil
5028;"Reserva Ecológica Mata do Zumbi";NULL;"Cabo Santo Agostinho";PE;Brasil
5029;"Usina São José, Mata de Chave";NULL;Igarassú;PE;Brasil
5092;"Capera Ribeira";NULL;"Santa Catarina";SC;Brasil
5133;" ";NULL;"Tapera Ribeira";SC;Brasil
5138;"estrada para Uberlândia, km 150";NULL;?;GO;Brasil
5139;"Usina São José, fragmento da Mata do";Pezinho;Igarassú;PE;Brasil
5175;"Usina de São José, fragmento da mata";"de Piedade";Igarassú;PE;Brasil
5190;" ";NULL;" ";" ";Austria
5220;"Estrada de Goiania a Anápolis";NULL;Goiania;GO;Brasil
5222;" ";NULL;"Conceição de Ibitipoca";MG;Brasil
5229;"arredores de Rio das Contas";NULL;"Rio das Contas";BA;Brasil
5290;"Rio Doce";NULL;"Sem Peixe";MG;Brasil
5318;"Serra da Canastra, próximoa barragem de";Furnas;"São João Batista da Glória";MG;Brasil
5325;"Lagoa Jatobá";NULL;"Vila Alta";PR;Brasil
5333;"Estrada rural";NULL;"São João Batista da Glória";MG;Brasil
5339;"Barra da Estiva, Morro do Ouro";NULL;"Chapada Diamantina";BA;Brasil
5346;"Serra de Maracaju, 10 Km L d Piraputanga";NULL;Aquidaunana;MS;Brasil
5347;"Arroyo Apichapa";NULL;"Depto Paraguarí/ 35 Km N of Caapucu";" ";Brasil
5351;"Winterhafen in Donau";NULL;Viena;" ";Austria
5364;"Paraíso Selvagem, trilha para cachoeira";""Salto Solitário"";Delfinópolis;PR;Brasil
5373;"estrada São João da Aliança a Alto";"Paraíso de Goiás";"São João da Aliança";GO;Brasil
5377;" ";NULL;"Paulo Frontim";PR;Brasil
5387;"Parque Estadual Carlos Botelho";NULL;"São Miguel Aracanjo";SP;Brasil
5426;"estrada de chão entre Planaltina de ";"Goiás e Corrego do Ouro";"Planaltina de Goiás";GO;Brasil
5434;"Fazenda Olhos D'Água. Prop. José Maria,";"junto à prop. de Maria Aparecida Silva.";"Rio Parnaíba";MG;Brasil
5464;"Sítio onde reside Sr. Ivan, na cabeceira";"do Córrego Rodeador, próx. a entrada p/";Brazlândia;DF;Brasil
5470;"Fazenda do Sr. Pereira";NULL;Brazlândia;DF;Brasil
5480;"Área de expansão do PARNA Chapada dos";"Veadeiros. Próx. ao assentame. Tapa Olho";"Nova Roma";Go;Brasil
