codigo,cidade_fb,estado_fb,uf_resolvida,cidade_slug
285,Ponta Grossa,PR,PR,ponta grossa
286,Sapucaia,PA,PA,sapucaia
287,Corumbataí do Sul,PR,PR,corumbatai do sul
288,Bourbonia,PR,PR,bourbonia
289,Bourbônia,PR,PR,bourbonia
290,Luiziana,PR,PR,luiziana
291,Boa Esperança,MG,MG,boa esperanca
292,Nova Tebas,PR,PR,nova tebas
293,Imbaú,PR,PR,imbau
294,Corumbataí do Sul,PR,PR,corumbatai do sul
295,Corumbataí do Sul,PR,PR,corumbatai do sul
296,Quatro Barras,PR,PR,quatro barras
297,Farol,PR,PR,farol
298,Peabiru,PR,PR,peabiru
299,Teresina de Goiás,GO,GO,teresina de goias
300,Niquelândia,GO,GO,niquelandia
301,Teresina de Goiás,GO,GO,teresina de goias
302,Engenheiro Beltrão,PR,PR,engenheiro beltrao
303,Campo Mourão,PR,PR,campo mourao
304,Brasília,DF,DF,brasilia
305,Pico do Itacolomi,MG,MG,pico do itacolomi
306,Bocaiúva do Sul,PR,PR,bocaiuva do sul
307,Uberlândia,MG,MG,uberlandia
308,Cavalcante,GO,GO,cavalcante
309,Cavalcante,GO,GO,cavalcante
310,Jaraguá do Sul,SC,SC,jaragua do sul
311,Jacarezinho,PR,PR,jacarezinho
312,Cavalcante,GO,GO,cavalcante
313,Peabiru,PR,PR,peabiru
314,Campo Mourão,PR,PR,campo mourao
315,Boa Esperança,PR,PR,boa esperanca
316,Jaraguá do Sul,SC,SC,jaragua do sul
317,Cruzeiro do Oeste,PR,PR,cruzeiro do oeste
318,Goioerê,PR,PR,goioere
319,Guaraqueçaba,PR,PR,guaraquecaba
321,Aquidauana,MS,MS,aquidauana
322,Jundiaí do Sul,PR,PR,jundiai do sul
323,Palmeira,PR,PR,palmeira
324,Ponta Grossa,PR,PR,ponta grossa
325,Francisco Dumont,MG,MG,francisco dumont
326,Curitiba,PR,PR,curitiba
327,Piraquara,PR,PR,piraquara
328,Antonina,PR,PR,antonina
329,Congonhas do Norte,MG,MG,congonhas do norte
330,Balsa Nova,PR,PR,balsa nova
331,Palmeira,PR,PR,palmeira
332,Candói,PR,PR,candoi
333,Antonina,PR,PR,antonina
334,Foz do Iguaçu,PR,PR,foz do iguacu
335,Tibagi,PR,PR,tibagi
336,Morretes,PR,PR,morretes
337,Balsa Nova,PR,PR,balsa nova
338,Urubici,SC,SC,urubici
339,Adrianópolis,PR,PR,adrianopolis
340,Pontal do Paraná,PR,PR,pontal do parana
341,Curitiba,PR,PR,curitiba
342,Joaquim Felício,MG,MG,joaquim felicio
343,Bocaiúva do Sul,PR,PR,bocaiuva do sul
344,Tibagi,PR,PR,tibagi
345,Conceição da Barra,ES,ES,conceicao da barra
346,Lapa,PR,PR,lapa
347,Guaraqueçaba,PR,PR,guaraquecaba
348,Bocaiúva do Sul,PR,PR,bocaiuva do sul
349,Porto Amazonas,PR,PR,porto amazonas
350,Guaratuba,PR,PR,guaratuba
351,Jaguariaíva,PR,PR,jaguariaiva
352,Garuva,PR,PR,garuva
353,Apiaí,SP,SP,apiai
354,Bonito,MS,MS,bonito
355,Antonina,PR,PR,antonina
356,Barra do Turvo,SP,SP,barra do turvo
357,Bocaiúva do Sul,PR,PR,bocaiuva do sul
358,Laranjeiras do Sul,PR,PR,laranjeiras do sul
