id,cidade_fb,uf_resolvida
433,Campo Mourão,PR
434,Campo Mourão,PR
435,Piraquara,PR
436,Vila Propício,GO
437,Balsa Nova,PR
438,Piraquara,PR
439,Colombo,PR
440,Brasília,DF
441,Brasília,DF
442,Cavalcante,GO
443,Cavalcante,GO
444,Curitiba,PR
445,Cocalzinho,GO
446,Antonina,PR
447,Mamborê,PR
448,Rosário do Ivaí,PR
449,Jaguariaíva,PR
450,Campo Mourão,PR
451,Ventania,PR
452,Cascavel,PR
453,Roncador,PR
454,Marília,SP
455,Campo Mourão,PR
457,Porto Amazonas,PR
458,Itajai,SC
459,Campo Alegre,SC
460,Mamborê,PR
461,Campo Mourão,PR
462,Ponta Grossa,PR
463,Boa Esperança,MG
464,Ventania,PR
465,Antônio João,MS
466,Campo Mourão,PR
467,Campo Mourão,PR
468,Colinas do Sul,GO
469,Porto Murtinho,MS
470,Quinta do Sol,PR
471,Brasília,DF
472,Ilha Carióca,PR
473,Ilha Grande,MS
474,Porto Figueira,PR
475,Sapucaia,PA
476,Peabiru,PR
477,Moreira Sales,PR
478,Palmeira,PR
479,Curitiba,PR
480,Pirenópolis,GO
481,Peabiru,PR
482,Coronel Vivida,PR
483,Prudentópolis,PR
484,Atibaia,SP
485,Araruna,PR
486,Engenheiro Beltrão,PR
487,Jaguariaíva,PR
488,Jaguariaíva,PR
489,Paranaguá,PR
490,Vila Propício,GO
491,Cianorte,PR
492,Cianorte,PR
493,Iretama,PR
494,Alto Paraíso de Goiás,GO
495,Correntina,BA
496,Luiziana,PR
497,Mandaguari,PR
498,Roncador,PR
499,Porto Barreiro,PR
500,Santa Izabel do Oeste,PR
501,Boa Esperança,PR
502,Campo Mourão,PR
503,Moreira Sales,PR
504,Flórida,PR
505,Guaraniaçú,PR
506,São Mateus do Sul,PR
507,Antonina,PR
508,Porto Murtinho,MS
509,Antonina,PR
510,São Bento do Sul,SC
511,Guaratuba,PR
512,Curitiba,PR
513,Morretes,PR
514,Curitiba,PR
515,Macaúbas,BA
516,São José dos Ausentes,RS
517,Urubici,SC
518,Mamborê,PR
519,Itapemirim,ES
520,Rio Verde,MS
521,Antônio João,MS
522,Campo Largo,PR
523,Palmeira,PR
524,Timbé do Sul,SC
526,Itaperuçu,PR
527,Bonito,MS
528,Morretes,PR
529,Alto Paraíso de Goiás,GO
530,Ponta Porã,MS
531,Laguna,SC
532,Bela Vista,MS
533,Urubici,SC
534,Bodoquena,MS
535,Morretes,PR
536,Balsa Nova,PR
537,Porto Murtinho,MS
538,Guaraqueçaba,PR
539,Teixeira Soares,PR
540,Nova Tebas,PR
541,Bonito,MS
542,Campo Mourão,PR
543,Colinas do Sul,GO
544,Mamborê,PR
545,Itajaí,SC
546,São Pedro do Ivaí,PR
547,Paranaguá,PR
548,Almas,TO
549,Campo Mourão,PR
550,Santo Inácio,SP
551,Campo Mourão,PR
552,Cianorte,PR
553,Cianorte,PR
554,Cianorte,PR
555,Colinas do Sul,GO
